source	interaction_type	target	status
LMO3	BN	DCHS2	non_indicated
RGS5	BN	POPDC3	non_indicated
RGS5	BN	SMOC2	non_indicated
DPP8	BN	KIAA0460	non_indicated
RAB7L1	BN	METTL7B	non_indicated
IRF8	BN	LY86	non_indicated
IRF8	BN	Contig35866_RC	non_indicated
NFIL3	BN	RGS16	non_indicated
NFIL3	BN	RGS2	non_indicated
NFIL3	BN	SLC39A14	non_indicated
NFIL3	BN	SMARCA1	non_indicated
HIVEP3	BN	SPAG5	non_indicated
HIVEP3	BN	CBFA2T3	non_indicated
HIVEP3	BN	AF052108	non_indicated
HIVEP3	BN	AASS	non_indicated
HIVEP3	BN	ZNF786	non_indicated
HIVEP3	BN	SIRT4	non_indicated
HIVEP3	BN	AK054806	non_indicated
HIVEP3	BN	HSS00004092	non_indicated
HIVEP3	BN	HSS00014001	non_indicated
CAPZA2	BN	B3GNT2	non_indicated
CAPZA2	BN	AATK	non_indicated
CBLN4	BN	EMID2	non_indicated
LAT2	BN	Contig35866_RC	non_indicated
LAT2	BN	CD180	non_indicated
LAT2	BN	PTAFR	non_indicated
LAT2	BN	RHBDF2	non_indicated
LAT2	BN	CASP1	non_indicated
LAT2	BN	TMC8	non_indicated
LAT2	BN	AL832727	non_indicated
LAT2	BN	NM_016414	non_indicated
COPZ2	BN	AL137566	non_indicated
COPZ2	BN	AL110206	non_indicated
PDGFRA	BN	LHFPL3	non_indicated
PDGFRA	BN	Contig12989_RC	non_indicated
BTK	BN	CD86	non_indicated
KCNJ3	BN	NM_173663	non_indicated
KCNJ3	BN	NM_032435	non_indicated
AL109716	BN	SLC6A6	non_indicated
AL109716	BN	HSS00342647	non_indicated
SEC23A	BN	KLF9	non_indicated
SEC23A	BN	FAM91A2	non_indicated
SEC23A	BN	IMPAD1	non_indicated
SEC23A	BN	NNT	non_indicated
SEC23A	BN	SEC24D	non_indicated
SEC23A	BN	TM6SF1	non_indicated
SEC23A	BN	NM_017910	non_indicated
UPP1	BN	C10orf10	non_indicated
SLITRK5	BN	ZNF365	non_indicated
SLITRK5	BN	FAM19A2	non_indicated
SLITRK5	BN	RNMT	non_indicated
SLITRK5	BN	DMRTC1	non_indicated
SLITRK5	BN	HSS00176041	non_indicated
SLITRK5	BN	DDX24	non_indicated
SERPINB2	BN	KIF20A	non_indicated
SERPINB2	BN	AK097959	non_indicated
SHC1	BN	CDKN1A	non_indicated
DDX3Y	BN	PRKY	non_indicated
Contig54961_RC	BN	C9orf125	non_indicated
Contig54961_RC	BN	Contig43905_RC	non_indicated
Contig54961_RC	BN	Contig45345_RC	non_indicated
Contig54961_RC	BN	KCNJ6	non_indicated
Contig54961_RC	BN	KCNT1	non_indicated
Contig54961_RC	BN	MAGEE2	non_indicated
NPFF	BN	AK093857	non_indicated
