nodename	color	shape	size	font_size
Contig43096_RC	grey	circle	40	12
Contig44269_RC	grey	circle	40	12
Contig44890_RC	grey	circle	40	12
Contig45549_RC	grey	circle	40	12
Contig46677_RC	grey	circle	40	12
Contig47221_RC	grey	circle	40	12
Contig47297_RC	grey	circle	40	12
Contig47381_RC	grey	circle	40	12
Contig48208_RC	grey	circle	40	12
Contig48481	grey	circle	40	12
Contig48653_RC	red	circle	120	36
Contig49306_RC	grey	circle	40	12
Contig50004_RC	grey	circle	40	12
Contig51392_RC	grey	circle	40	12
Contig51566_RC	grey	circle	40	12
Contig51690_RC	grey	circle	40	12
Contig52635_RC	grey	circle	40	12
Contig5403_RC	grey	circle	40	12
Contig56026_RC	grey	circle	40	12
Contig565_RC	grey	circle	40	12
Contig5667_RC	grey	circle	40	12
Contig57230_RC	grey	circle	40	12
Contig63649_RC	grey	circle	40	12
Contig6383_RC	grey	circle	40	12
Contig7245_RC	grey	circle	40	12
CP	grey	circle	40	12
CREG2	grey	circle	40	12
CREM	grey	circle	40	12
CRHBP	grey	circle	40	12
CSNK2A1	grey	circle	40	12
CTSB	grey	circle	40	12
CXCL5	grey	circle	40	12
CYP4X1	grey	circle	40	12
DDHD2	grey	circle	40	12
DDIT3	red	circle	120	36
DDIT4	grey	circle	40	12
DDX1	grey	circle	40	12
DDX25	grey	circle	40	12
DGKE	grey	circle	40	12
DIRC2	grey	circle	40	12
DLEU2L	grey	circle	40	12
DLEU7	grey	circle	40	12
DMN	grey	circle	40	12
DMXL2	grey	circle	40	12
DNAH7	grey	circle	40	12
DNAJB4	grey	circle	40	12
DNAJB6	grey	circle	40	12
DNAJC3	grey	circle	40	12
DOK1	grey	circle	40	12
DOPEY1	grey	circle	40	12
DOPEY2	grey	circle	40	12
DPP10	grey	circle	40	12
DPYSL2	grey	circle	40	12
DTNA	grey	circle	40	12
DTX3L	grey	circle	40	12
DYNC1LI1	grey	circle	40	12
EDG3	grey	circle	40	12
EEF1E1	grey	circle	40	12
EFCAB3	grey	circle	40	12
EFNA4	grey	circle	40	12
ELAVL1	grey	circle	40	12
ELK4	grey	circle	40	12
ELOVL7	grey	circle	40	12
ELTD1	grey	circle	40	12
EMP2	red	circle	120	36
EMP3	red	circle	120	36
ENST00000240700	grey	circle	40	12
ENST00000240820	grey	circle	40	12
ENST00000250621	grey	circle	40	12
ENST00000256973	grey	circle	40	12
ENST00000257675	grey	circle	40	12
ENST00000277146	red	circle	120	36
ENST00000278205	grey	circle	40	12
ENST00000279503	grey	circle	40	12
ENST00000284857	grey	circle	40	12
