Gene	Status
IFT20	non_indicated
DUSP22	non_indicated
LEMD3	non_indicated
NAPG	non_indicated
ESPL1	non_indicated
UCRC	non_indicated
POFUT2	non_indicated
C3orf14	non_indicated
LARP1	non_indicated
LARP4	non_indicated
LARP6	non_indicated
LARP7	non_indicated
COL15A1	non_indicated
ODAM	non_indicated
DDX41	non_indicated
TMEM45A	non_indicated
DDX43	non_indicated
DDX42	non_indicated
PTER	non_indicated
DDX47	non_indicated
PTEN	non_indicated
PLTP	non_indicated
ATMIN	non_indicated
LGR5	non_indicated
LGR4	non_indicated
C20orf30	non_indicated
ELAVL3	non_indicated
CDKN1C	non_indicated
CDKN1B	non_indicated
LSM14A	non_indicated
UBE2D2	non_indicated
UBE2D3	non_indicated
UBE2D1	non_indicated
SETBP1	non_indicated
EDNRA	non_indicated
EDNRB	non_indicated
APOD	non_indicated
APOE	non_indicated
APOB	non_indicated
APOO	non_indicated
APOM	non_indicated
APOH	non_indicated
STX12	non_indicated
AW814026	non_indicated
NFIL3	non_indicated
REG3A	non_indicated
FOXJ1	non_indicated
FOXJ3	non_indicated
TMEM123	non_indicated
CCDC59	non_indicated
PAXIP1	non_indicated
NUFIP1	non_indicated
PREPL	non_indicated
FBXO34	non_indicated
FBXO38	non_indicated
SAT1	non_indicated
MBOAT2	non_indicated
MBOAT7	non_indicated
SPSB1	non_indicated
HINT1	non_indicated
SDPR	non_indicated
CDC34	non_indicated
CDC37	non_indicated
ALAS1	non_indicated
S100A9	non_indicated
S100A8	non_indicated
BRWD2	non_indicated
PTTG1	non_indicated
S100A7	non_indicated
S100A6	non_indicated
S100A1	non_indicated
KIAA0513	non_indicated
LONRF3	non_indicated
TCFL5	non_indicated
JARID2	non_indicated
EIF5	non_indicated
KIAA1609	non_indicated
ORC5L	non_indicated
APBA2	non_indicated
PGLS	non_indicated
AA975427	non_indicated
MORC2	non_indicated
MORC3	non_indicated
MORC4	non_indicated
PTPRZ1	non_indicated
ANKRD17	non_indicated
WRB	non_indicated
CYP27A1	non_indicated
CCNA2	non_indicated
DYSF	non_indicated
DYNC1I1	non_indicated
ATP13A3	non_indicated
ATP13A2	non_indicated
FAM60A	non_indicated
RAI2	non_indicated
PRKRA	non_indicated
PCDH24	non_indicated
C1orf112	non_indicated
C1orf116	non_indicated
C1orf115	non_indicated
C1orf114	non_indicated
DDRGK1	non_indicated
ADAT1	non_indicated
MT1P2	non_indicated
LGALS3BP	non_indicated
PLEKHO1	non_indicated
E2F6	non_indicated
E2F5	non_indicated
E2F3	non_indicated
AK026679	non_indicated
HNRNPAB	non_indicated
ACBD3	non_indicated
