source	interaction_type	target
IVNS1ABP	bn	HIPK2
CUL3	bn	GMCL1
DHX15	bn	WDR7
DHX15	bn	FAM35A
DHX15	bn	HDHD2
IGF2R	bn	BRWD3
IGF2R	bn	CBL
TRAM1	bn	LOC100506390
TRAM1	bn	DNAJB9
RPL36A	bn	RPL23
GSS	bn	DNAJC11
GSS	bn	FBXO17
GSS	bn	RPTOR
CUL4A	bn	TPSB2
CUL4A	bn	ABCB10
TIA1	bn	NAA38
TIA1	bn	VPS36
TIA1	bn	TMEM161B
RUVBL2	bn	RNASEH2A
SCRN1	bn	LOC285972
SCRN1	bn	ARHGAP32
JUN	bn	ZC3HAV1L
RRM1	bn	WDYHV1
RRM1	bn	NCAPG2
RCN2	bn	SUCLG2
RCN2	bn	TMEM128
RCN2	bn	KIF3A
PUM2	bn	HNRNPH3
PUM2	bn	TRIM33
PUM2	bn	PRKAA1
PUM2	bn	ASB7
GRSF1	bn	PRNP
GRSF1	bn	SLC30A5
NFKBIA	bn	TNFAIP3
LOC100652886	bn	CLMN
LOC100652886	bn	SHROOM1
LOC100652886	bn	CALHM2
PFDN1	bn	TMEM18
PFDN1	bn	LOC100505481
TSN	bn	UBA2
TSN	bn	MAD2L1
TSN	bn	MRPS35
TSN	bn	TSEN15
TSN	bn	KLHDC5
TSN	bn	ARL14EP
SRM	bn	DPH1
NCBP2	bn	CROT
NCBP2	bn	DOCK10
NCBP2	bn	DZANK1
NCBP2	bn	SLC25A32
NCBP2	bn	TSHZ1
NCBP2	bn	RIOK1
NCBP2	bn	GABPB2
TOMM70A	bn	TSPYL5
PAR-SN	bn	TRAP1
PAR-SN	bn	BAG2
RPA1	bn	SLC35D1
DUSP3	bn	CD44
DUSP3	bn	CCRL2
DUSP3	bn	MILR1
DUSP3	bn	FLVCR2
DUSP3	bn	FANCD2
FHL1	bn	IRS1
NME1	bn	MRPS17
TMX4	bn	MAP2K4
TMX4	bn	HSDL2
TMX4	bn	LAMP2
TMX4	bn	TSPAN2
TMX4	bn	GAB1
SFPQ	bn	NOL7
PPP4R1	bn	KIAA0319
PPP4R1	bn	MCL1
OAT	bn	YWHAZ
OAT	bn	EMB
PPP1R12A	bn	AURKAPS1
PPP1R12A	bn	TNPO1
PPP1R12A	bn	TMEM30A
PPP1R12A	bn	TGFBR1
PPP1R12A	bn	BNIP2
ICMT	bn	MGP
RUVBL1	bn	ANXA6
RUVBL1	bn	RANBP1
RUVBL1	bn	RNF8
RUVBL1	bn	C14orf169
CALD1	bn	MYL9
PRDX3	bn	KDELR2
NBL1	bn	C1orf151-NBL1
CYB5B	bn	STT3A
BST2	bn	VAMP5
ITGA6	bn	ETS1
ITGA6	bn	RALA
SMC4	bn	MIA3
USP14	bn	POLE2
AKAP1	bn	URB1
AKAP1	bn	POLR1B
AKAP1	bn	FITM2
AKAP1	bn	TIGD2
C3orf37	bn	MARCKSL1
API5	bn	LOC113230
API5	bn	RASGRP1
API5	bn	PYROXD1
API5	bn	KIAA1704
API5	bn	HELLS
SIGMAR1	bn	MRPL2
DNMT1	bn	BLMH
DNMT1	bn	TRIM14
DNMT1	bn	TAF1B
PSMC6	bn	HSPE1-MOB4
PSMC6	bn	GIN1
LOC100652849	bn	MBD5
GALNT1	bn	PANK2
ELAVL1	bn	UBFD1
KIAA0100	bn	C6orf106
KIAA0100	bn	CSNK1G1
CLCN3	bn	CSDE1
CLCN3	bn	BRWD1
EIF1B	bn	RSU1
EIF1B	bn	H1F0
EIF1B	bn	STAU1
EIF1B	bn	FEM1A
SGK1	bn	SSBP2
TWF1	bn	EMC2
TWF1	bn	ZFYVE16
TWF1	bn	CGRRF1
TWF1	bn	ZNF443
TWF1	bn	UBA3
TWF1	bn	TXNDC9
TWF1	bn	PHIP
TWF1	bn	RPAP3
TWF1	bn	VPS54
TWF1	bn	TMEM167A
TWF1	bn	LIG4
MCM5	bn	C16orf5
MCM5	bn	VMO1
MCM5	bn	C11orf24
PSME2	bn	SLAMF7
CLINT1	bn	ITGB1
CLINT1	bn	REEP3
SNRPA	bn	EIF3C
SCAMP3	bn	SV2A
SCAMP3	bn	RUSC1
SCAMP3	bn	NOC4L
SCAMP3	bn	FAM203A
SCAMP3	bn	UBE2D4
SCAMP3	bn	NICN1
SCAMP3	bn	ZNF526
SCAMP3	bn	MGC39372
SCAMP3	bn	PEX14
ADNP	bn	TPSAB1
ADNP	bn	RNF38
RNF13	bn	NBN
RNASE1	bn	HTRA1
VARS	bn	ZNF629
VARS	bn	NCKIPSD
VARS	bn	COG8
VARS	bn	AGAP3
MYOF	bn	LDLR
MYOF	bn	CTSL1
MYOF	bn	DUSP5
MYOF	bn	LOC100507375
MYOF	bn	MTHFD2
SLC29A1	bn	PIK3R6
SLC29A1	bn	CAMK1
SLC29A1	bn	ADORA3
SLC29A1	bn	PMP22
SLC29A1	bn	SMPD3
RNF14	bn	SPECC1
HDAC2	bn	C5orf51
BNIP3	bn	MAGEH1
CDC25B	bn	GOT2
CDC25B	bn	MIR1292
CDC25B	bn	PITRM1
CDC25B	bn	TRAF1
CDC25B	bn	LOC150776
CDC25B	bn	ATIC
CDC25B	bn	EXOSC2
CDC25B	bn	PHF15
CDC25B	bn	ULK3
CDC25B	bn	SLC41A1
CDC25B	bn	BCL9L
CDC25B	bn	RRN3
CDC25B	bn	IL21R
CDC25B	bn	LPHN1
ATMIN	bn	TERF1
ATMIN	bn	TOM1L1
ATMIN	bn	XPO1
ATMIN	bn	MAF
ATMIN	bn	COX18
ATMIN	bn	RNF125
ZFR	bn	ADD3
ZFR	bn	TMED5
ZFR	bn	SLC9A6
ZFR	bn	SCAMP1
ZFR	bn	SLC30A1
ZFR	bn	ATF2
ZFR	bn	SKIL
ZFR	bn	SNX16
ZFR	bn	ZNF644
ZFR	bn	SMEK2
NR3C1	bn	RHOB
TBL1X	bn	ZBED1
TBL1X	bn	SEC14L1
TBL1X	bn	IMPA2
ABCE1	bn	EIF2S1
ABCE1	bn	PURA
ABCE1	bn	NUDT15
ABCE1	bn	LMAN1
ABCE1	bn	WDR36
ABCE1	bn	TIMM23
MPZL1	bn	SCLT1
FAM3C	bn	RRAS2
IMPDH2	bn	HIST1H1D
IMPDH2	bn	LOC147727
AKR1A1	bn	CTSH
AKR1A1	bn	BLVRA
AKR1A1	bn	CBR1
CTDSPL	bn	CALD1
CTDSPL	bn	ABLIM3
CTDSPL	bn	LOC100507472
CTDSPL	bn	SLC24A3
CTDSPL	bn	ZNF385D
CTDSPL	bn	CLEC1B
